tazhengzaidadianhua	他正在打电话	哥哥在客厅，
tazhengzaidadianhua	她正在打电话	姐姐在客厅，
tazuotianyoutaokele	他昨天又逃课了	我弟弟很调皮，
tazuotianyoutaokele	她昨天又逃课了	我妹妹很调皮，
tameitianzaochenqupaobu	他每天早晨去跑步	爷爷身体硬朗，
tameitianzaochenqupaobu	她每天早晨去跑步	奶奶身体硬朗，
tazaiyiyuanshangban	他在医院上班	叔叔是外科医生，
tazaiyiyuanshangban	她在医院上班	阿姨是外科医生，
tameitiangeiwodadianhua	他每天给我打电话	男朋友出差了，
tameitiangeiwodadianhua	她每天给我打电话	女朋友出差了，
wentichuzaiwangguan	问题出在网关	机房巡检发现，
wentichuzaiwangguan	问题出在网管	网吧老板说，
takaichehaibushulian	他开车还不熟练	小王刚拿到驾照，
takaichetebiewen	她开车特别稳	小李是位女司机，
taxiazhouquxuexiaobaodao	他下周去学校报到	儿子考上大学了，
taxiazhouquxuexiaobaodao	她下周去学校报到	女儿考上大学了，
wojintianshuiguotoule	我今天睡过头了	闹钟没响，
yihouqichequshangban	以后骑车去上班	我买了辆自行车，
jidemaiquanxian	记得买全险	租车的时候，
zhegezhanghaomeiyouquanxian	这个账号没有权限	管理员说，
gaipeiyanjingle	该配眼镜了	我近视了，
zhegemoxingdexishuhenda	这个模型的系数很大	统计课上老师讲，
xianquxishuzaichizaofan	先去洗漱再吃早饭	刚起床，
fenglidaizhenuanyi	风里带着暖意	立春之后，
shuohuafeichangshigu	说话非常世故	他为人圆滑，
jideanshibaodao	记得按时报到	新生入学须知：
woxiangchaodimaidian	我想抄底买点	股市这两天大跌，
shunluquchaoshimaidiancai	顺路去超市买点菜	下班回家路上，
xianjinliushuiduibushang	现金流水对不上	会计对账发现，
takandezhidiaoyanlei	她看得直掉眼泪	这部电影太感人，
caozuojiqiyaofangzhishigu	操作机器要防止事故	车间安全培训强调，
biyeshengxiazhoubanlixiaoshouxu	毕业生下周办离校手续	辅导员通知，
qiangmianyaoxianguanizi	墙面要先刮腻子	装修师傅说，
xueyayouyidianpiangao	血压有一点偏高	体检报告出来了，
jianyiraoxingbinjianglu	建议绕行滨江路	导航提示前方拥堵，
canyijingfangzaiqiantaile	餐已经放在前台了	外卖小哥打电话，
